timestamp,lat,lng,accuracy_m,gap_s,delayed,battery_percent
2026-09-22 17:26:30.536,35.8786664,139.7403119,9.735,-,false,100
2026-09-22 17:26:36.285,35.8786285,139.7404023,3.916,5.7,false,100
2026-09-22 17:26:41.298,35.8785471,139.7407815,4.128,5.0,false,100
2026-09-22 17:26:46.305,35.8783575,139.741235,4.084,5.0,false,100
2026-09-22 17:26:51.300,35.8781953,139.7417018,4.494,5.0,false,100
2026-09-22 17:26:56.314,35.8781585,139.7418392,4.454,5.0,false,100
2026-09-22 17:27:01.287,35.8781596,139.7418354,3.564,5.0,false,100
2026-09-22 17:27:06.299,35.8781596,139.7418354,4.437,5.0,false,100
2026-09-22 17:27:10.938,35.8781596,139.7418354,189.115,4.6,false,100
2026-09-22 17:27:16.299,35.8781596,139.7418354,4.559,5.4,false,100
2026-09-22 17:27:21.294,35.8781596,139.7418354,27.474,5.0,false,100
2026-09-22 17:27:26.300,35.8781596,139.7418354,3.887,5.0,false,100
2026-09-22 17:27:31.291,35.8781596,139.7418354,26.135,5.0,false,100
2026-09-22 17:27:36.308,35.87815,139.7418878,4.578,5.0,false,100
2026-09-22 17:27:41.298,35.878156,139.7420753,4.478,5.0,false,100
2026-09-22 17:27:46.303,35.878265,139.7420287,12.575,5.0,false,100
2026-09-22 17:27:51.315,35.878475,139.7417898,5.211,5.0,false,100
2026-09-22 17:27:56.283,35.8787782,139.7414214,5.389,5.0,false,100
2026-09-22 17:28:01.296,35.8791683,139.7409791,5.112,5.0,false,100
